title,director,cast,country,date_added,release_year,rating,genres,language,popularity,vote_count,vote_average,budget,revenue,rating_tier,year_added,month_added,movie_age
Actress Sex Scandal 2,Yamappi,"So Jeong, Yeon Hee, Kim Min-jeong, Min Do-yoon, Hun-i",South Korea,11/22/2016,2016,4,"Drama, Romance",ko,7.589,1,4,,,Poor,2016,November,9
The Intervention,Clea DuVall,"Natasha Lyonne, Cobie Smulders, Melanie Lynskey, Jason Ritter, Clea DuVall",United States of America,8/26/2016,2016,5.863,"Comedy, Drama",en,7.572,164,5.863,,,Average,2016,August,9
Dishoom,Rohit Dhawan,"John Abraham, Varun Dhawan, Akshaye Khanna, Jacqueline Fernandez, Saqib Saleem",India,7/29/2016,2016,5.4,"Comedy, Action",hi,7.565,88,5.4,,,Average,2016,July,9
Housefull 3,"Farhad Samji, Sajid Samji","Akshay Kumar, Abhishek Bachchan, Ritesh Deshmukh, Nargis Fakhri, Lisa Haydon",India,6/3/2016,2016,5.1,"Comedy, Romance",hi,7.552,98,5.1,,,Average,2016,June,9
Creepy,Kiyoshi Kurosawa,"Hidetoshi Nishijima, Yuko Takeuchi, Teruyuki Kagawa, Haruna Kawaguchi, Masahiro Higashide",Japan,6/18/2016,2016,6.7,"Crime, Drama, Horror",ja,7.548,192,6.7,,,Good,2016,June,9
The Horde,Jared Cohn,"Paul Logan, Matthew Willig, Bill Moseley, Costas Mandylor, Vernon Wells",United States of America,5/6/2016,2016,4.88,"Action, Horror",en,7.541,54,4.88,,,Poor,2016,May,9
The Remains,Thomas Della Bella,"Todd Lowe, Lisa Brenner, Brooke Butler, Ashley Crow, Maria Olsen",United States of America,8/5/2016,2016,4.688,"Horror, Thriller",en,7.539,157,4.688,,,Poor,2016,August,9
Mostly Ghostly 3: One Night in Doom House,Ron Oliver,"Corey Fogelmanis, Sophie Reynolds, Vivian Full, Andrew Herr, Peter DeLuise",United States of America,9/6/2016,2016,6.2,"Family, Fantasy, Horror",en,7.538,59,6.2,,,Average,2016,September,9
Mythica: The Godslayer,John Lyde,"Melanie Stone, Adam Johnson, Jake Stormoen, Nicola Posener, Matthew Mercer",United States of America,12/17/2016,2016,6,"Adventure, Fantasy, Action",en,7.518,61,6,,,Average,2016,December,9
Wiener-Dog,Todd Solondz,"Ellen Burstyn, Kieran Culkin, Julie Delpy, Danny DeVito, Greta Gerwig",United States of America,6/24/2016,2016,5.637,"Comedy, Drama",en,7.518,215,5.637,,469311,Average,2016,June,9
The Happiest Day in the Life of Olli Mäki,Juho Kuosmanen,"Jarkko Lahti, Oona Airola, Eero Milonoff, Joanna Haartti, Esko Barquero","Finland, Germany, Sweden",9/2/2016,2016,6.583,"Drama, Romance",fi,7.511,96,6.583,1330000,,Good,2016,September,9
The Exchange Student,Jim Ben Soussan,"Jimmy Labeeu, Sophie Mousel, Charles Berling, Sylvie Testud, Léon Plazol",France,8/24/2016,2016,5.4,Comedy,fr,7.497,137,5.4,,,Average,2016,August,9
Schweinskopf al dente,Ed Herzog,"Sebastian Bezzel, Simon Schwarz, Lisa Maria Potthoff, Gregor Bloéb, Enzi Fuchs","Germany, Austria",8/11/2016,2016,7,"Comedy, Crime",de,7.492,102,7,,2571219,Good,2016,August,9
The Confessions,Roberto Andò,"Toni Servillo, Pierfrancesco Favino, Daniel Auteuil, Connie Nielsen, Moritz Bleibtreu","France, Italy",4/21/2016,2016,5.972,"Drama, Thriller",it,7.486,107,5.972,,1859604,Average,2016,April,9
Midnight Diner 2,Jōji Matsuoka,"Kaoru Kobayashi, Aoba Kawai, Koichi Sato, Sosuke Ikematsu, Midoriko Kimura",Japan,11/5/2016,2016,7.3,"Drama, Family",ja,7.482,28,7.3,,,Good,2016,November,9
