title,director,cast,country,date_added,release_year,rating,genres,language,popularity,vote_count,vote_average,budget,revenue,rating_tier,year_added,month_added,movie_age
Shrek Forever After,Mike Mitchell,"Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Walt Dohrn",United States of America,5/16/2010,2010,6.38,"Comedy, Adventure, Fantasy, Animation, Family",en,203.893,7449,6.38,165000000,752600867,Average,2010,May,15
Inception,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe, Tom Hardy, Elliot Page","United Kingdom, United States of America",7/15/2010,2010,8.369,"Action, Science Fiction, Adventure",en,156.242,37119,8.369,160000000,839030630,Excellent,2010,July,15
Harry Potter and the Deathly Hallows: Part 1,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Toby Jones, Helena Bonham Carter","United Kingdom, United States of America",11/17/2010,2010,7.744,"Adventure, Fantasy",en,121.191,19327,7.744,250000000,954305868,Good,2010,November,15
Tangled,"Byron Howard, Nathan Greno","Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman, M.C. Gainey",United States of America,11/24/2010,2010,7.6,"Animation, Family, Adventure",en,111.762,11638,7.6,260000000,592461732,Good,2010,November,15
How to Train Your Dragon,"Chris Sanders, Dean DeBlois","Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill",United States of America,3/18/2010,2010,7.8,"Fantasy, Adventure, Animation, Family",en,110.044,13259,7.8,165000000,494879471,Good,2010,March,15
Shutter Island,Martin Scorsese,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow, Michelle Williams",United States of America,2/14/2010,2010,8.2,"Drama, Thriller, Mystery",en,101.551,24282,8.2,80000000,294804195,Excellent,2010,February,15
The Karate Kid,Harald Zwart,"Jaden Smith, Jackie Chan, Taraji P. Henson, Wenwen Han, Wang ZhenWei","China, Hong Kong, United States of America",6/10/2010,2010,6.5,"Action, Adventure, Drama, Family",en,96.385,6082,6.5,40000000,359126022,Average,2010,June,15
Iron Man 2,Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson, Sam Rockwell",United States of America,4/28/2010,2010,6.8,"Adventure, Action, Science Fiction",en,95.255,21222,6.8,200000000,623933331,Good,2010,April,15
Grown Ups,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider",United States of America,6/24/2010,2010,6.394,Comedy,en,93.281,6212,6.394,80000000,271430189,Average,2010,June,15
Room in Rome,Julio Medem,"Elena Anaya, Natasha Yarovenko, Enrico Lo Verso, Najwa Nimri, Ander Malles","France, Spain",5/7/2010,2010,6.416,"Drama, Romance",es,90.23,748,6.416,,844281,Average,2010,May,15
Despicable Me,"Pierre Coffin, Chris Renaud","Steve Carell, Jason Segel, Miranda Cosgrove, Elsie Fisher, Dana Gaier",United States of America,7/8/2010,2010,7.2,"Animation, Family, Comedy",en,86.361,15258,7.2,69000000,543284256,Good,2010,July,15
Toy Story 3,Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack, Don Rickles, Wallace Shawn",United States of America,6/16/2010,2010,7.8,"Animation, Family, Comedy",en,83.097,14847,7.8,200000000,1067316101,Good,2010,June,15
The Twilight Saga: Eclipse,David Slade,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Bryce Dallas Howard, Dakota Fanning",United States of America,6/23/2010,2010,6.204,"Adventure, Fantasy, Drama, Romance",en,81.8,8829,6.204,68000000,698491347,Average,2010,June,15
Alice in Wonderland,Tim Burton,"Mia Wasikowska, Johnny Depp, Anne Hathaway, Helena Bonham Carter, Crispin Glover",United States of America,3/3/2010,2010,6.6,"Family, Fantasy, Adventure",en,80.326,14114,6.6,200000000,1025467110,Good,2010,March,15
A Serbian Film,Srđan Spasojević,"Srđan 'Žika' Todorović, Sergej Trifunović, Jelena Gavrilović, Slobodan Beštić, Katarina Žutić",Serbia,6/16/2010,2010,5.471,"Crime, Horror, Thriller",sr,74.238,2018,5.471,,,Average,2010,June,15
Undisputed III: Redemption,Isaac Florentine,"Scott Adkins, Mykel Shannon Jenkins, Mark Ivanir, Hristo Shopov, Marko Zaror",United States of America,4/17/2010,2010,7.517,"Action, Thriller, Crime, Drama",en,71.837,925,7.517,3000000,282548,Good,2010,April,15
The Social Network,David Fincher,"Jesse Eisenberg, Andrew Garfield, Armie Hammer, Josh Pence, Justin Timberlake",United States of America,10/1/2010,2010,7.368,Drama,en,69.048,12285,7.368,40000000,224920315,Good,2010,October,15
Three Steps Above Heaven,Fernando González Molina,"María Valverde, Mario Casas, Álvaro Cervantes, Marina Salas, Nerea Camacho",Spain,12/3/2010,2010,7.7,"Romance, Drama",es,66.968,3095,7.7,,,Good,2010,December,15
Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus,"Logan Lerman, Brandon T. Jackson, Alexandra Daddario, Jake Abel, Pierce Brosnan",United States of America,2/1/2010,2010,6.21,"Adventure, Fantasy, Family",en,64.865,7519,6.21,95000000,226497209,Average,2010,February,15
The Town,Ben Affleck,"Ben Affleck, Jeremy Renner, Rebecca Hall, Jon Hamm, Blake Lively","United Kingdom, United States of America",9/15/2010,2010,7.2,"Crime, Drama, Thriller",en,58.865,5117,7.2,37000000,154026136,Good,2010,September,15
Predators,Nimród Antal,"Adrien Brody, Topher Grace, Alice Braga, Oleg Taktarov, Laurence Fishburne",United States of America,7/3/2010,2010,6.3,"Science Fiction, Action, Thriller",en,58.518,4194,6.3,40000000,127200000,Average,2010,July,15
Megamind,Tom McGrath,"Will Ferrell, Tina Fey, Jonah Hill, Brad Pitt, David Cross",United States of America,10/28/2010,2010,6.999,"Animation, Action, Comedy, Family, Science Fiction",en,58.422,6944,6.999,130000000,321885765,Good,2010,October,15
The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,"Georgie Henley, Skandar Keynes, Ben Barnes, Will Poulter, Anna Popplewell","United Kingdom, United States of America",12/2/2010,2010,6.4,"Adventure, Family, Fantasy",en,53.64,5621,6.4,155000000,415686217,Average,2010,December,15
The Expendables,Sylvester Stallone,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren, Eric Roberts","Bulgaria, United States of America",8/3/2010,2010,6.248,"Thriller, Adventure, Action",en,53.249,7827,6.248,80000000,274470394,Average,2010,August,15
Clash of the Titans,Louis Leterrier,"Sam Worthington, Gemma Arterton, Mads Mikkelsen, Alexa Davalos, Jason Flemyng",United States of America,3/26/2010,2010,5.9,"Adventure, Fantasy, Action",en,51.888,6308,5.9,125000000,493214993,Average,2010,March,15
Black Swan,Darren Aronofsky,"Natalie Portman, Mila Kunis, Vincent Cassel, Barbara Hershey, Winona Ryder",United States of America,12/3/2010,2010,7.7,"Drama, Thriller, Horror",en,45.984,14650,7.7,13000000,329398046,Good,2010,December,15
Kick-Ass,Matthew Vaughn,"Aaron Taylor-Johnson, Chloë Grace Moretz, Nicolas Cage, Lyndsy Fonseca, Mark Strong","United Kingdom, United States of America",3/26/2010,2010,7.122,"Action, Crime",en,45.668,11730,7.122,28000000,96188903,Good,2010,March,15
TRON: Legacy,Joseph Kosinski,"Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner, James Frain",United States of America,12/14/2010,2010,6.5,"Adventure, Action, Science Fiction",en,44.783,7236,6.5,170000000,400062763,Average,2010,December,15
El Infierno,Luis Estrada,"Damián Alcázar, Joaquín Cosío, Ernesto Gómez Cruz, María Rojo, Elizabeth Cervantes",Mexico,9/3/2010,2010,7.9,"Action, Crime, Western, Comedy, Drama",es,43.812,691,7.9,,6703873,Good,2010,September,15
From Paris with Love,Pierre Morel,"John Travolta, Jonathan Rhys Meyers, Kasia Smutniak, Richard Durden, Bing Yin","United Kingdom, France",2/4/2010,2010,6.27,"Action, Crime, Thriller",en,43.037,2043,6.27,52000000,52800000,Average,2010,February,15
The Last Airbender,M. Night Shyamalan,"Noah Ringer, Dev Patel, Nicola Peltz Beckham, Jackson Rathbone, Shaun Toub",United States of America,6/30/2010,2010,4.6,"Action, Adventure, Fantasy",en,42.597,4004,4.6,150000000,319713881,Poor,2010,June,15
The Other Guys,Adam McKay,"Will Ferrell, Mark Wahlberg, Eva Mendes, Michael Keaton, Steve Coogan",United States of America,8/6/2010,2010,6.3,"Action, Comedy, Crime, Thriller",en,40.669,4234,6.3,100000000,170432927,Average,2010,August,15
Elite Squad: The Enemy Within,José Padilha,"Wagner Moura, Irandhir Santos, André Ramiro, Pedro Van-Held, Maria Ribeiro",Brazil,10/8/2010,2010,7.811,"Drama, Action, Crime",pt,40.66,1879,7.811,,63027681,Good,2010,October,15
Prince of Persia: The Sands of Time,Mike Newell,"Jake Gyllenhaal, Gemma Arterton, Ben Kingsley, Alfred Molina, Steve Toussaint",United States of America,5/19/2010,2010,6.3,"Adventure, Fantasy, Action",en,39.509,6807,6.3,200000000,336365676,Average,2010,May,15
Scott Pilgrim vs. the World,Edgar Wright,"Michael Cera, Mary Elizabeth Winstead, Ellen Wong, Kieran Culkin, Alison Pill","Japan, United Kingdom, United States of America",8/12/2010,2010,7.491,"Action, Comedy, Romance",en,39.321,7985,7.491,85000000,51691156,Good,2010,August,15
Legion,Scott Stewart,"Paul Bettany, Dennis Quaid, Lucas Black, Kate Walsh, Tyrese Gibson",United States of America,1/21/2010,2010,5.9,"Horror, Action, Fantasy",en,38.772,2656,5.9,26000000,67900000,Average,2010,January,15
The Man from Nowhere,Lee Jeong-beom,"Won Bin, Kim Sae-ron, Kim Tae-hun, Kim Hee-won, Kim Seung-o",South Korea,8/4/2010,2010,7.7,"Action, Thriller, Crime",ko,38.694,1348,7.7,1255000,43059790,Good,2010,August,15
I Spit on Your Grave,Steven R. Monroe,"Sarah Butler, Jeff Branson, Tracey Walter, Andrew Howard, Chad Lindberg",United States of America,6/17/2010,2010,6.5,"Thriller, Crime, Horror",en,38.125,2344,6.5,2000000,572809,Average,2010,June,15
127 Hours,Danny Boyle,"James Franco, Kate Mara, Amber Tamblyn, Clémence Poésy, Lizzy Caplan","France, United Kingdom, United States of America",11/12/2010,2010,7.1,"Adventure, Drama, Thriller",en,37.971,7606,7.1,18000000,35700000,Good,2010,November,15
RED,Robert Schwentke,"Bruce Willis, John Malkovich, Morgan Freeman, Helen Mirren, Mary-Louise Parker",United States of America,10/13/2010,2010,6.7,"Action, Adventure, Comedy, Crime, Thriller",en,36.185,6751,6.7,58000000,199006387,Good,2010,October,15
Halo Legends,"Hideki Futamura, Tomoki Kyoda, Koichi Mashimo, Yasushi Muraki, Daisuke Nishio, Koji Sawai, Hiroshi Yamazaki, Takahiro Tanaka, Hiroyuki Kawasaki, Megumi Shimizu, Keiichi Sugiyama, Shinji Aramaki, Toshiyuki Kanno, Mamoru Oshii","Luci Christian, David Wald, Emily Neves, Shelley Calene-Black, Jessie James Grelle","Germany, Japan, United States of America",2/16/2010,2010,7.3,"Animation, War, Action, Science Fiction",en,36.147,161,7.3,,11000000,Good,2010,February,15
The Extraordinary Adventures of Adèle Blanc-Sec,Luc Besson,"Louise Bourgoin, Mathieu Amalric, Gilles Lellouche, Jean-Paul Rouve, Jacky Nercessian",France,4/9/2010,2010,6.2,"Fantasy, Adventure, Action, Mystery",fr,35.816,1368,6.2,25000000,34604339,Average,2010,April,15
Salt,Phillip Noyce,"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski, August Diehl",United States of America,7/21/2010,2010,6.4,"Action, Mystery, Thriller",en,35.711,5537,6.4,110000000,293329073,Average,2010,July,15
Incendies,Denis Villeneuve,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Rémy Girard, Allen Altman","Canada, France",9/17/2010,2010,8.1,"Drama, War, Mystery",fr,35.555,2830,8.1,6800000,6788659,Excellent,2010,September,15
Titanic II,Shane van Dyke,"Shane van Dyke, Marie Westbrook, Bruce Davison, Brooke Burns, Michelle Glavan",United States of America,8/7/2010,2010,5,"Action, Thriller, Romance, Adventure",en,35.09,424,5,,,Poor,2010,August,15
Flipped,Rob Reiner,"Madeline Carroll, Callan McAuliffe, Rebecca De Mornay, Anthony Edwards, John Mahoney",United States of America,8/6/2010,2010,8.016,"Romance, Drama",en,34.886,3062,8.016,14000000,4324817,Excellent,2010,August,15
Love & Other Drugs,Edward Zwick,"Jake Gyllenhaal, Anne Hathaway, Oliver Platt, Hank Azaria, Josh Gad",United States of America,11/4/2010,2010,7,"Drama, Comedy, Romance",en,34.685,5196,7,30000000,102800000,Good,2010,November,15
Nanny McPhee and the Big Bang,Susanna White,"Emma Thompson, Asa Butterfield, Ralph Fiennes, Maggie Gyllenhaal, Maggie Smith","United States of America, United Kingdom, France",3/26/2010,2010,6.3,"Comedy, Fantasy, Family",en,34.409,1847,6.3,35000000,93251121,Average,2010,March,15
Piranha 3D,Alexandre Aja,"Elisabeth Shue, Jerry O'Connell, Steven R. McQueen, Jessica Szohr, Kelly Brook",United States of America,8/20/2010,2010,5.4,"Comedy, Horror",en,34.009,2238,5.4,24000000,83188165,Average,2010,August,15
Tinker Bell and the Great Fairy Rescue,Bradley Raymond,"Mae Whitman, Lauren Mote, Michael Sheen, Pamela Adlon, Lucy Liu","India, United States of America",7/29/2010,2010,6.7,"Animation, Adventure, Family, Fantasy",en,33.522,945,6.7,,,Good,2010,July,15
The Book of Eli,"Albert Hughes, Allen Hughes","Denzel Washington, Gary Oldman, Mila Kunis, Ray Stevenson, Jennifer Beals",United States of America,1/14/2010,2010,6.8,"Action, Thriller, Science Fiction",en,33.361,6182,6.8,80000000,157107755,Good,2010,January,15
The Wolfman,Joe Johnston,"Benicio del Toro, Anthony Hopkins, Emily Blunt, Hugo Weaving, Geraldine Chaplin",United States of America,2/10/2010,2010,5.9,"Horror, Thriller",en,33.064,2014,5.9,150000000,140700000,Average,2010,February,15
Scared Shrekless,Gary Trousdale,"Mike Myers, Cameron Diaz, Antonio Banderas, Dean Edwards, Conrad Vernon",United States of America,10/28/2010,2010,6.7,"Animation, Comedy, Family",en,32.983,469,6.7,,,Good,2010,October,15
The A-Team,Joe Carnahan,"Liam Neeson, Bradley Cooper, Jessica Biel, Quinton 'Rampage' Jackson, Sharlto Copley","United Kingdom, United States of America",6/9/2010,2010,6.397,"Action, Comedy, Crime",en,32.716,4671,6.397,110000000,177238796,Average,2010,June,15
Eat Pray Love,Ryan Murphy,"Julia Roberts, Javier Bardem, James Franco, Billy Crudup, Richard Jenkins",United States of America,8/12/2010,2010,6.241,"Drama, Romance",en,32.264,2453,6.241,60000000,204594016,Average,2010,August,15
Azureus Rising,David Weinstein,Unknown,Unknown,4/6/2010,2010,6.2,"Science Fiction, Animation",en,31.997,12,6.2,,,Average,2010,April,15
My Name Is Khan,Karan Johar,"Shah Rukh Khan, Kajol, Arjan Aujla, Jimmy Shergill, Sonya Jehan","China, India, United Arab Emirates, United States of America",2/10/2010,2010,8,"Drama, Romance",hi,31.503,1333,8,12000000,42345360,Good,2010,February,15
Naruto Shippuden the Movie: The Lost Tower,Masahiko Murata,"Junko Takeuchi, Kazuhiko Inoue, Toshiyuki Morikawa, Chie Nakamura, Satoshi Hino",Japan,7/31/2010,2010,7.1,"Adventure, Action, Animation",ja,31.444,473,7.1,,16537336,Good,2010,July,15
I Saw the Devil,Kim Jee-woon,"Lee Byung-hun, Choi Min-sik, Jeon Kuk-hwan, Cheon Ho-jin, Oh San-ha",South Korea,8/12/2010,2010,7.794,"Thriller, Horror",ko,31.434,2667,7.794,6000000,12966357,Good,2010,August,15
Death Race 2,Roel Reiné,"Luke Goss, Lauren Cohan, Sean Bean, Danny Trejo, Ving Rhames","South Africa, Germany",11/12/2010,2010,5.8,"Action, Thriller, Science Fiction",en,31.427,1112,5.8,7000000,,Average,2010,November,15
Blue Valentine,Derek Cianfrance,"Ryan Gosling, Michelle Williams, John Doman, Mike Vogel, Ben Shenkman",United States of America,12/26/2010,2010,6.9,"Drama, Romance",en,31.339,3276,6.9,1000000,15440333,Good,2010,December,15
Diary of a Wimpy Kid,Thor Freudenthal,"Zachary Gordon, Robert Capron, Steve Zahn, Devon Bostick, Rachael Harris","United Kingdom, United States of America",3/19/2010,2010,6.2,"Comedy, Family",en,31.191,1613,6.2,15000000,76196538,Average,2010,March,15
Robin Hood,Ridley Scott,"Russell Crowe, Cate Blanchett, Max von Sydow, William Hurt, Mark Strong",United States of America,5/12/2010,2010,6.4,"Action, Adventure, History, Drama",en,30.765,4673,6.4,200000000,321669741,Average,2010,May,15
The Secret World of Arrietty,Hiromasa Yonebayashi,"Mirai Shida, Ryunosuke Kamiki, Tomokazu Miura, Keiko Takeshita, Kirin Kiki","France, Japan, United States of America",7/16/2010,2010,7.663,"Fantasy, Animation, Family",ja,30.708,2879,7.663,23000000,149660003,Good,2010,July,15
Leap Year,Anand Tucker,"Amy Adams, Matthew Goode, Adam Scott, John Lithgow, Noel O'Donovan","Ireland, United States of America",1/8/2010,2010,6.9,"Romance, Comedy",en,30.524,2030,6.9,19000000,32686500,Good,2010,January,15
The Sorcerer's Apprentice,Jon Turteltaub,"Jay Baruchel, Nicolas Cage, Alfred Molina, Teresa Palmer, Toby Kebbell",United States of America,7/13/2010,2010,6.117,"Fantasy, Adventure, Action",en,30.261,4976,6.117,150000000,215300000,Average,2010,July,15
She's Out of My League,Jim Field Smith,"Jay Baruchel, Alice Eve, T.J. Miller, Nate Torrence, Mike Vogel",United States of America,3/11/2010,2010,6.5,"Romance, Comedy",en,30.201,2173,6.5,20000000,49800000,Average,2010,March,15
Frozen,Adam Green,"Emma Bell, Shawn Ashmore, Kevin Zegers, Ed Ackerman, Rileah Vanderbilt",United States of America,2/5/2010,2010,6,Thriller,en,30.006,1855,6,,3065860,Average,2010,February,15
Saw 3D,Kevin Greutert,"Tobin Bell, Costas Mandylor, Betsy Russell, Cary Elwes, Sean Patrick Flanery",United States of America,10/22/2010,2010,5.989,"Horror, Crime",en,28.494,3067,5.989,20000000,136151680,Average,2010,October,15
Knight and Day,James Mangold,"Tom Cruise, Cameron Diaz, Peter Sarsgaard, Viola Davis, Jordi Mollà",United States of America,6/15/2010,2010,6.2,"Action, Comedy",en,27.899,4534,6.2,117000000,261989769,Average,2010,June,15
Tucker and Dale vs. Evil,Eli Craig,"Tyler Labine, Alan Tudyk, Katrina Bowden, Jesse Moss, Philip Granger","Canada, United States of America",1/22/2010,2010,7.379,"Comedy, Horror",en,27.886,2816,7.379,5000000,5224938,Good,2010,January,15
Splice,Vincenzo Natali,"Adrien Brody, Sarah Polley, Delphine Chanéac, David Hewlett, Abigail Chu","Canada, France, Germany",6/3/2010,2010,5.9,"Horror, Science Fiction",en,27.112,2273,5.9,26000000,,Average,2010,June,15
The Last Exorcism,Daniel Stamm,"Patrick Fabian, Ashley Bell, Iris Bahr, Louis Herthum, Caleb Landry Jones","United States of America, France",8/27/2010,2010,5.7,"Horror, Thriller, Mystery",en,26.482,1026,5.7,1800000,69400000,Average,2010,August,15
Due Date,Todd Phillips,"Robert Downey Jr., Zach Galifianakis, Michelle Monaghan, Jamie Foxx, Juliette Lewis",United States of America,11/3/2010,2010,6.382,"Comedy, Drama",en,26.461,5449,6.382,65000000,211800000,Average,2010,November,15
A Nightmare on Elm Street,Samuel Bayer,"Jackie Earle Haley, Kyle Gallner, Rooney Mara, Katie Cassidy, Thomas Dekker",United States of America,4/30/2010,2010,5.5,"Horror, Mystery, Thriller",en,26.168,2725,5.5,35000000,115664037,Average,2010,April,15
Takers,John Luessenhop,"Chris Brown, Hayden Christensen, Matt Dillon, Michael Ealy, Idris Elba",United States of America,8/26/2010,2010,6.229,"Action, Crime, Drama, Thriller",en,26.106,1283,6.229,32000000,80205382,Average,2010,August,15
16 Wishes,Peter DeLuise,"Debby Ryan, Jean-Luc Bilodeau, Anna Mae Wills, Karissa Tynes, Brenda Crichlow",United States of America,10/2/2010,2010,6.314,"Fantasy, Drama, Family",en,26.027,1321,6.314,,,Average,2010,October,15
The King's Speech,Tom Hooper,"Colin Firth, Geoffrey Rush, Helena Bonham Carter, Guy Pearce, Timothy Spall","United Kingdom, United States of America",11/26/2010,2010,7.7,"Drama, History",en,25.936,8778,7.7,15000000,414211549,Good,2010,November,15
Remember Me,Allen Coulter,"Robert Pattinson, Emilie de Ravin, Pierce Brosnan, Lena Olin, Chris Cooper",United States of America,3/11/2010,2010,7.1,"Drama, Romance",en,25.397,3546,7.1,16000000,56000000,Good,2010,March,15
Easy A,Will Gluck,"Emma Stone, Penn Badgley, Amanda Bynes, Dan Byrd, Thomas Haden Church",United States of America,9/16/2010,2010,6.8,Comedy,en,25.329,6963,6.8,8000000,75026327,Good,2010,September,15
Unstoppable,Tony Scott,"Denzel Washington, Chris Pine, Rosario Dawson, Kevin Dunn, Ethan Suplee",United States of America,11/4/2010,2010,6.6,"Action, Thriller",en,25.307,3600,6.6,100000000,167805466,Good,2010,November,15
Barbie: A Fashion Fairytale,William Lau,"Diana Kaarina, Adrian Petriw, Tabitha St. Germain, Patricia Drake, Alexa Devine",United States of America,9/14/2010,2010,7.2,"Family, Animation",en,25.138,760,7.2,,,Good,2010,September,15
Sex and the City 2,Michael Patrick King,"Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, Chris Noth",United States of America,5/26/2010,2010,6.1,"Comedy, Drama, Romance",en,24.953,1639,6.1,100000000,290700000,Average,2010,May,15
22 Bullets,Richard Berry,"Jean Reno, Kad Merad, Marina Foïs, Jean-Pierre Darroussin, JoeyStarr",France,3/23/2010,2010,6.677,"Drama, Crime, Thriller",fr,24.919,1219,6.677,24000000,,Good,2010,March,15
Faster,George Tillman Jr.,"Dwayne Johnson, Billy Bob Thornton, Oliver Jackson-Cohen, Maggie Grace, Carla Gugino",United States of America,11/23/2010,2010,6.3,"Crime, Drama, Action, Thriller",en,24.78,1948,6.3,24000000,23081726,Average,2010,November,15
Paranormal Activity 2,Tod Williams,"Sprague Grayden, Brian Boland, Molly Ephraim, Katie Featherston, Micah Sloat",United States of America,10/20/2010,2010,5.8,"Horror, Mystery",en,24.747,2458,5.8,3000000,177512032,Average,2010,October,15
The Tourist,Florian Henckel von Donnersmarck,"Johnny Depp, Angelina Jolie, Paul Bettany, Timothy Dalton, Steven Berkoff","United States of America, United Kingdom, France, Italy",12/8/2010,2010,6.183,"Action, Thriller, Romance",en,24.522,5449,6.183,100000000,278731369,Average,2010,December,15
Step Up 3D,Jon M. Chu,"Rick Malambri, Adam Sevani, Joe Slaughter, Sharni Vinson, Alyson Stoner",United States of America,8/4/2010,2010,6.8,"Drama, Romance",en,24.48,1901,6.8,30000000,159291809,Good,2010,August,15
True Grit,"Joel Coen, Ethan Coen","Jeff Bridges, Hailee Steinfeld, Matt Damon, Josh Brolin, Barry Pepper",United States of America,12/22/2010,2010,7.3,"Drama, Adventure, Western",en,23.782,5315,7.3,38000000,252300000,Good,2010,December,15
The Next Three Days,Paul Haggis,"Russell Crowe, Elizabeth Banks, Brian Dennehy, RZA, Moran Atias","United States of America, France",11/18/2010,2010,7.1,"Romance, Drama, Thriller, Crime",en,23.613,2885,7.1,30000000,67448651,Good,2010,November,15
Letters to Juliet,Gary Winick,"Amanda Seyfried, Christopher Egan, Gael García Bernal, Vanessa Redgrave, Franco Nero",United States of America,5/13/2010,2010,7.002,"Comedy, Drama, Romance",en,23.388,2893,7.002,30000000,82148538,Good,2010,May,15
Hot Tub Time Machine,Steve Pink,"John Cusack, Craig Robinson, Rob Corddry, Clark Duke, Sebastian Stan",United States of America,3/26/2010,2010,6,"Science Fiction, Comedy, Adventure",en,23.351,2508,6,36000000,64780213,Average,2010,March,15
Vampires Suck,"Jason Friedberg, Aaron Seltzer","Jenn Proske, Matt Lanter, Chris Riggi, Diedrich Bader, Anneliese van der Pol",United States of America,8/18/2010,2010,4.3,"Comedy, Fantasy",en,23.306,1300,4.3,20000000,80547866,Poor,2010,August,15
The Spy Next Door,Brian Levant,"Jackie Chan, Amber Valletta, Madeline Carroll, Will Shadley, Alina Foley",United States of America,1/15/2010,2010,5.9,"Action, Comedy, Family",en,23.229,1311,5.9,28000000,66166000,Average,2010,January,15
Ong Bak 3,"Tony Jaa, Panna Rittikrai","Tony Jaa, Primrata Dej-Udom, Dan Chupong, Nirut Sirijanya, Petchtai Wongkamlao",Thailand,5/5/2010,2010,6,"Action, Adventure, History",th,23.196,439,6,,2340363,Average,2010,May,15
The Servant,Kim Dae-woo,"Kim Joo-hyuk, Cho Yeo-jeong, Ryoo Seung-bum, Ryu Hyun-kyung, Song Sae-byuk",South Korea,6/2/2010,2010,5.8,"Romance, Drama, History, Comedy",ko,23.002,30,5.8,,,Average,2010,June,15
Scooby-Doo! Curse of the Lake Monster,Brian Levant,"Frank Welker, Kate Melton, Hayley Kiyoko, Nick Palatas, Robbie Amell",United States of America,10/16/2010,2010,6.154,"Mystery, Fantasy, Comedy, Adventure",en,22.547,515,6.154,,3400000,Average,2010,October,15
Ninja,Isaac Florentine,"Scott Adkins, Todd Jensen, Tsuyoshi Ihara, Mika Hijii, Togo Igawa",United States of America,3/15/2010,2010,6.1,"Action, Crime, Drama, Thriller",en,22.547,353,6.1,10000000,194243,Average,2010,March,15
Sin tetas no hay paraíso,Gustavo Bolívar,"Isabel Cristina Cadavid, Linda Lucía Callejas, Juan Sebastián Calero, Linda Baldrich, Fabio Restrepo",Colombia,7/23/2010,2010,7.4,"Crime, Drama",es,22.502,93,7.4,,,Good,2010,July,15
Barbie in A Mermaid Tale,Adam Wood,"Kelly Sheridan, Kathleen Barr, Tabitha St. Germain, Peter Mel, Nakia Burrise",United States of America,1/25/2010,2010,7.2,"Animation, Family, Fantasy",en,22.109,766,7.2,,16441438,Good,2010,January,15
Tooth Fairy,Michael Lembeck,"Dwayne Johnson, Stephen Merchant, Ashley Judd, Julie Andrews, Ryan Sheckler","Canada, United States of America",1/14/2010,2010,5.5,"Comedy, Family, Fantasy",en,21.966,1994,5.5,48000000,112462508,Average,2010,January,15
Legend of the Guardians: The Owls of Ga'Hoole,Zack Snyder,"Jim Sturgess, Ryan Kwanten, Hugo Weaving, Helen Mirren, Geoffrey Rush","Australia, United States of America",7/10/2010,2010,6.8,"Animation, Adventure, Family, Fantasy",en,21.922,2323,6.8,80000000,140073390,Good,2010,July,15
The American,Anton Corbijn,"George Clooney, Violante Placido, Thekla Reuten, Paolo Bonacelli, Johan Leysen","United Kingdom, United States of America",8/31/2010,2010,6,"Crime, Drama, Thriller",en,21.884,1370,6,20000000,67900000,Average,2010,August,15
Unthinkable,Gregor Jordan,"Samuel L. Jackson, Carrie-Anne Moss, Michael Sheen, Stephen Root, Lora Kojovic",United States of America,6/14/2010,2010,6.8,"Drama, Thriller",en,21.627,1224,6.8,15000000,,Good,2010,June,15
The Way Back,Peter Weir,"Ed Harris, Jim Sturgess, Saoirse Ronan, Colin Farrell, Mark Strong","India, United Arab Emirates, United Kingdom, United States of America",11/22/2010,2010,7,"Drama, Adventure, History",en,21.501,1607,7,30000000,24200000,Good,2010,November,15
Machete,"Robert Rodriguez, Ethan Maniquis","Danny Trejo, Michelle Rodriguez, Jessica Alba, Robert De Niro, Steven Seagal",United States of America,9/1/2010,2010,6.3,"Action, Comedy, Thriller",en,20.986,3327,6.3,10500000,45491656,Average,2010,September,15
Ben 10 Alien Swarm,Alex Winter,"Ryan Kelley, Galadriel Stineman, Nathan Keyes, Alyssa Diaz, Herbert Siguenza",United States of America,3/12/2010,2010,6.1,"Adventure, Action, TV Movie, Science Fiction",en,20.878,343,6.1,40000000,,Average,2010,March,15
Buried,Rodrigo Cortés,"Ryan Reynolds, José Luis García Pérez, Robert Paterson, Stephen Tobolowsky, Samantha Mathis","France, Spain, United States of America",9/24/2010,2010,6.6,"Drama, Thriller, Mystery",en,20.832,2831,6.6,1987650,19152480,Good,2010,September,15
